Domain	Source Sentence	Reference Translation	Google Translate	Yandex Translate
wiki	ሰኔ 11 ቀን - ግብጽ ሬፑብሊክ ሆነ።	On June 8, Egypt became a republic.	June 11 - Egypt becomes a republic.	Day June 11 - Republic of Egypt.
wiki	ቆዳ ማንጓጓቱን ስሱ መጓጓቱን	Making sounds with skin, the smooth is eager.	The skin is sensitive to the sensation	Maninarakorn generation having very sensitive skin
wiki	ኅዳር 19 ቀን፦ አልባኒያ ነጻነቱን ከኦቶማን መንግሥት አወጀ።	On November 29, Albania announced its freedom from Automan's government.	November 19: Albania declares independence from the Ottoman government.	Heart Day 19: least caution area of the kingdom of Albania.
wiki	እዝራ ፓውንድ የአሜሪካ ጸሐፊ ነበር።	Ezra Pound was  an american writer.	Ezra Pound was an American writer.	The United States and was the author of the button.
wiki	ማሊ በ1880 እ.ኤ.አ. በፈረንሣይ ቅኝ ተገዝታ «ፈረንሳያዊ ሱዳን» ወይም «የሱዳን ሪፐብሊክ» ትባል ነበር።	In 1880, Mali was colonized by France and was named as "French Sudan" or "Susan's Republic".	Mali in 1880; It was purchased by the French colony and was called &quot;French Sudan&quot; or the &quot;Republic of Sudan&quot;.	Mali and 1880.The.The. Review test frontin "with perennial" or "the Republic of Sudan" was the.
wiki	ለምሳሌ በሽፍትነት የሚያገኘውን ገንዘብ ለገበሬወች እያከፋፈለ ሞፈርና ቀንበር እንዲገዙ ይረዳ ነበር።	For example, he gave the money he got as a bandit to farmers so they can buy morph and yoke.	For example, it helped farmers buy morphine and yoke by distributing income to farmers.	For example, the respite money Asiatravel has been understood in several legatees opera Angel was a burden.
wiki	» ሲሉ አንድ ያለቃን ስራ ያየ ካህን «አለቃ ከልክለው ነው ሴቶች እንዳይገቡ» ብሎ ያስረዳል።	...a priest that saw a deed of one head will explain saying,"the boss has forbidden females to enter."	&quot;A priest who has seen an unprofessional man explains,&quot; He forbade a chief to prevent women from entering. &quot;	"He said that this work is in the "calcru to women in that he" demonstrates that.
wiki	ማር ይፈሳል ጠጅ በእመቤቴ ደጅ ።	Tej is made from honey and flows on my mother's land.	Honey flowed through the door of my mistress.	Apesar gate mark Bamber wine .
wiki	» 1724 ዓክልበ. - አሹር-ኒሹ - «ሻምሺ-አዳድ <...> ።	1734 AKLB.- Ashur Nishu- 《Shamshi-Adade <...>.	»1724 BC. - Ashur-Nush - &quot;Shamshi-Ada &lt;...&gt;.	"Also 1724. - Assure-Nico - "same-add <...> .
wiki	ባገኘው ህይወት ነው ብዬ ወደሚያላምጡት ሰዎች ሔድሁ፡፡	Assuming its life if I get it, I went to the bad people.	I went to people who thought it was the life I found.	I of the baroque Edu toimii life
wiki	ሥራዋ በኗሪ አገሯ በሰፊ ባይታወቅም ኖሮ በአውሮጳና በደቡብ አሜሪካ በተለይ ትወደዳለች።	Although her works are not well known in her country, she is adored in Europe and South America.	If her work is not widely known in her home country, she will be especially loved in Europe and South America.	Auto batteries are the berry they would benefit Tweedle especially in South America.
wiki	አርሰር ኮነን ዶይል	Arser Conan Doyle	Arson Connor Doyle	Are doing one
wiki	ፖርማ የእግር ኳስ ክለብ	Parma soccer team	Parma Football Club	The porno in the club
wiki	ለቡናሽ ቁርስ የለሽ ለነገርሽ ለዛ የለሽ	As u have no breakfast with your coffee, you have no charisma for your things	For those of you who don&#39;t have breakfast for breakfast, why not	Breakfast service lunch service rangers for that
wiki	በፓውሳኒዩስ ጽሑፍ ግን ከኦርጦፖሊስ ቀጥሎ ያለው ቅድም-ተከተል ከሌሎች ምንጮች ይለያያል፤ ማራጦስም በዚያ አይጠቀሰም።	However, on the writing of Pawsaniyos, the sequence following Orthopolice is different from other sources. Maratos is also not mentioned.	In the Pausanius text, however, the sequence that follows the Orthodoxus differs from other sources, and Maratus is not mentioned there.	Spousals corellis text next to it, but the pre-order of the other varies sources: Marathon on that item.
wiki	የማያልፍ ነገር የለም ምሽትም በማለዳ ይተካል	As nights are replaced by days, everything will pass too.	There is nothing that will not pass away, and will be replaced in the morning	There is no evening things up uniap ይተካል
wiki	ፊሊፕ ጆንሰን በሃርቫርድ የዲዛይን ትምህርት ቤት ነበር የተማረው።	Philip Johnson learned at Harvard designing school	Philip Johnson was educated at Harvard School of Design.	Alan Johnson's commentary on Philippians was by the Harvard School itemmargin.
wiki	አብዛኛውን ጊዜ ሰዎች በእያንዳንዱ እጆቻቸው ላይ አምስት ጣቶች አላቸው።	Most of the time, people possess 5 fingers on each hand.	People usually have five fingers on each of their hands.	It is often those young people each have five.
wiki	ናዚ ጀርመን በጀርመን ታሪክ አዶልፍ ሂትለር በናዚ ፓርቲ ጀርመን የመራበት ዘመን ወይም 1925-1937 ዓም. ነው።	Nazi Germany, in the history of Germany, was a period when Adolf Hitler led thr country with Nazi's Party or a time between 1925-1937.	Nazi Germany in German History Adolf Hitler During the Nazi Party Germany, or 1925-1937. it is.	Beach German German Germany history Adolf Hitler or the fertility of the Senate ዓም 1925-1937. Of.
wiki	የፊውዳሊዝም ሥር ዓት እንዲሁ በፈረንሳይ በሕግ ታግዷል።	Feudalism is also banned in France.	The roots of feudalism were also banned in France.	So are therewelcome Tamil root severance by law.
wiki	አምባው በእስልምና ግዛት በ8ኛው ክፍለ ዘመን ዓ.ም. ተሠራ።	The building was built on 8th century, during the Islamic regime.	The empire dates back to the eighth century AD It was made.	For more Islamic State began in the first century.What. Practices.
wiki	ወደ፡ቤትም፡በገባ፡ጊዜ፡ኢየሱስ፡አስቀድሞ፦ስምዖን፡ሆይ፥ምን፡ ይመስልኻል፧የምድር፡ነገሥታት፡ቀረጥና፡ግብር፡ከማን፡ይቀበላሉ፧ከልጆቻቸውን፡ወይስ፡ ከእንግዳዎች፧አለው።	When Jesus entered the room, he first asked, "Simon, from who do governments of the world take taxes from? Their children or their guests? What do you think?	And when he was come into the house, Jesus prevented him, saying, What thinkest thou, Simon?	To the We have made the Jesus previous:Simon The Lord, and what  tensile?The Earth Kings tax withholding tax with Isabella?Their children or  it guest?Alma.
wiki	የስሙ ትርጉም የናጋርጁነ ኮረብታ (ቴሉጉኛ፦ ኮርንደ) ነው።	The meaning of his name is, Hill of Nagarjun (Corende)	The name of the name is the Nagarajuna hill (Telugu: Corden).	The height of the meaning of the name unaware (Telugu: corner) of the.
wiki	ቅናት የሚወድን ሰው የሚገልጽ	...that describes a jealous person	Describes someone who is jealous	Imitation of jealousy man
wiki	ዘጸአት 21:28-32፦ በሬ ሰውን ወግቶ ቢገድል፣ በሬው ይወገር፣ ሥጋውም አይበላ።	Exodus 21:28-32 states, if an ox kills a person with its horn, let the ox be bitten, and its meat not eaten.	Exodus 21: 28-32: If an ox kills a man and then the bull is stoned, the flesh is not to be eaten.	Exodus 21:28-32: get Ox in Sigel, your tree, ITER team.
wiki	በቅርብ ጊዜ ግን ኤና-ዳጋን እራሱ የማሪን ንጉሥነት ማዕረግ ያዘ።	Recently, Ena-Dagan, took the throne of Marine by himself.	Recently, however, Ana-Dagan himself assumed the title of Marin.	And but recent-ingusheti and again use the left and right of the student himself.
wiki	የአሜሪካ ፕሬዚዳንት ከአሜሪካ መንግሥት 3ቱ ቅርንጫፎች (ሕግ አውጪው፣ አስፈጻሚው፣ ችሎታዊው) መሀል የ2ኛው ወይም የአስፈጻሚው ቅርንጫፍ ዋና ባለሥልጣን ናቸው።	The president of America, from among the 3 branches of the government (legislator, executor , judge), is a head of the second class or the executor.	The President of the United States is the Chief Executive Officer of the 2 branches of the United States government (the legislature, the executive, the competent).	The 3 branches of the United States the United States (outside of the law, the aspects, ability) or also of the Middle Branch are for today, Mulatu.
wiki	ዘይሴዎች ከእድሜ እና ከፆታ አንፃር የተለያየ የአለባበስ ስርዓት አላቸው።	People of Zeyese have a different clothing style with regards to age and sex.	Zeis have different dresses according to age and sex.	Age and gender in different sites of the dress have system.
wiki	ለገሰ የቀድሞ የመተሃራ፡ የፖሊስነ የመብራት አጥቂ የነበረ ሲሆን በአሁኑ ጊዜ ከኳስ የተገለለ ቢሆንም ከፍተኛ ትምህርቱን ጨርሶ በአዲስ አበባ መብራት ኃይል ባለስልጣን መስራያ ቤት በስፖርት ክለብ ውስጥ በሂሳብ ሰራተኛነት እየሰራ ነው።	Legesse,who used to be a striker for Metehara, Police and Mebrat soccer clubs has retired from soccer, he finished his higher education, and is currently working as an accountant in Addis Ababa's Electric Head Office.	He was a former Meteorological Police Lightning Attackers and has now graduated from the ball but finished his high school career and works as a mathematician at the Sport Club in Addis Ababa.	It is the center of the Kolomna  was the adversary of the police now turn on the high education in Addis Ababa tell the class to turn on the power of music in clubs sports authority financial statements statement of cooperation.
wiki	ወተት በጡት አጥቢ እንስሶች የሚፈጠር ፈሳሽ ነው።	Milk is a liquid produced by mammals.	Milk is a fluid produced by mammals.	Living creatures are not in school to know if the offline mode of alibi.
wiki	መሣሪያቸው የተሰናዳ ፪፻ ሠረገሎችና ፪ ሺሕ ወታደሮች ናቸው።	Weapons are ready for 200 carts and 2000 soldiers.	They are equipped with &quot;chariots and thousands&quot; of soldiers.	2 pergolas bitsindou tools are 2፻ thousands soldiers.
wiki	፲፱፻፳፰ ዓ/ም -ጄሲ ኦዌን የተባለው ጥቁር አሜሪካዊ በበርሊን የናዚ ጀርመን ከተማ በሚካሄደው አሥራ አንደኛው ኦሊምፒክ ውድድር ላይ አራተኛ የወርቅ ኒሻን አሸነፈ።	In 1928, a black american named Jessy Owen, won his fourth gold medal on the 11th Olympic competition hosted im Berlin, city of Nazi's Germany.	ጥቁር--ሲሲ--ጄጄጄጄጄጄጄጄጄጄጄጄጄጄጄጄጄጄጄጄጄጄጄጄጄጄ ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር ጥቁር አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ አራ።።።።።።።።።።።።።።።።።።።።።።።።።።	The ፲9፻፳8/what -Black easy open a boring German city of the United States Senate said the Olympics will be held in the first Fourth of it were twelve Golden Nexans to increase climate resilience.
wiki	ክሪስቲነሃምን የቨርምላንድ፣ ስዊድን ከተማ ነው።	Christineham is a city in Vermland, Sweden.	Christenheim is a city of Verland, Sweden.	Government Kristinehamn, Sweden city of.
wiki	በአሁኑ ወቅት ወደሰቆጣ የሚሄዱ ሁለት መንገዶች ይገኛሉ።	Now, there are two roads towards Sekota.	There are currently two roads leading to Sexi.	Two ways are available of the ionised Wenderoth.
wiki	ከዚህ ዕለት በኋላ እስከ ዓመቱ መጨረሻ ድረስ በዘመነ ሉቃስ ፪፻፲፭ ዕለታት ሲቀሩ በዘመነ ዮሐንስ፣ ዘመነ ማቴዎስ እና ዘመነ ማርቆስ ደግሞ ፪፻፲፬ ቀናት ይቀራሉ።	From this day forward upto the end of the year, there are 2015 days left on the Era of Luke, whereas, there are 2010 days left on the Era of Mathew and Mark.	Then there are the days of Luke in the days of John, the days of Matthew, and the days of Mark, and the days of Mark, and the days are ended.	After this last year of the 2፻፲5 to the filter except for the Luke, John, Matthew and mark of the days also will almost 2፻፲4.
wiki	ጥሩ ባህርይ አሳየ አለሙ አደብ ገዝቷል፣ እንደ ድሮው መጥፎ አይናገርም።	Alemu has become decent. He doesn't speak rudely as before.	Display a Good Man	The gestuales a good business we must also, as the drive may not speak.
convo	ታዲያስ እንዴት ነህ? ፀሐይ ዛሬ ታበራለች ፡፡	Hey how are you? The sun is shining today.	Hey how are you? The sun is shining today.	How Are You studies? Today the sun naturales
convo	በዚህ ዓመት ለመዝናናት ወዴት ነው የምንሄደው?	Where are we going this year for vacation?	Where are we going to have fun this year?	Lemerande said that this year will we leave?
convo	ብዙ መስራት ያለብኝ ስራ ኣለኝ፤  እወጣለሁ ብየ ኣላስብም።	I have so much work to do I don't think I can hang out.	I have a lot of work to do;	Many jobs in all alone: we must also Alatau.
convo	እዚህ ብዙ ሰዎች አሉ ፣ በጣም ተጨናንቋል ፡፡	There are so many people here, it is too crowded.	There are so many people here, it&#39;s very crowded.	Many alma here , teenager Michael
convo	እኛ ዛሬ መዝናናት አለብን ብዬ አስባለሁ ፡፡	I think we are going to have fun today.	I think we should have fun today.	I think we need a middle income country today and I
convo	የምትወደው ቀለም ምንድ  ነው?	What is your favourite colour?	What is your favorite color?	Ymittou what is the color?
convo	ሐሙስ ላይ ወደ ራት ይምጡ ፣ ነፃ ከሆኑ።	Come over for dinner on Thursday if you are free.	Come to dinner on Thursday, if you&#39;re free.	Thursday's supper to it , if you freedom.
convo	በእርግጠኝነት እዚህ ያለው ሰው ሁሉ  ረጅም ነው ፡፡	Everyone here is really tall.	Definitely everyone here is long.	Surely here is a man all of a long
convo	ስለ ማህበራዊ ጥናቶች ፈተናዬ ተቸንቄያለው። ኣጥንተሃል?	I am worried about my exam for social studies class. Have you studied?	I struggle with my social studies challenge. Are you serious	Technical test about social studies. Ambiental?
convo	ቀይ ወንበሩ ምን ያህል ነው ዋጋው? ለሳሎን ክፍሌ በቂ ነው ፡፡	How much does the red chair cost? It is perfect for my living room.	How much does the red chair cost? It&#39;s enough for my living room.	How much of red were legal? Enough of that lesson
convo	ፀሀዩ በጣም ያቃጥላል ኮፍያየን ብይዠ ጥሩ ነበር።	The sun is so bright, its too bad I forgot my hat	The sun was so hot it was good to wear a hat.	The good captain was David these acapella.
convo	ደብሮሀል እንዴ?	Are you bored?	How are you	Detrol one?
convo	ስንት ዕመትሀ ነው?	How old are you?	How old are you	How many of the bite?
convo	የት ነው የምትኖረው?	Where do you live?	where do you live?	Where is dwell?
convo	ስለተዋወቅን ደስ ብሎኛል።	It’s a pleasure to meet you.	nice to meet you.	How wonderful it is in the traveling.
convo	የት ነው የተወለድክው?	What were you born?	Where were you born?	Titled Where is?
convo	ያንተን ጉዳይ ስክታተል ነበር፡፡	I have been following your case	Your issue has been overlooked.	However, it must be of the scale was
convo	መልካም አዲስ ዓመት።	Happy new year.	happy New Year.	A good New Year.
convo	እትጨነቅበት።	Don’t stress over it.	Don&#39;t worry	Atechnocrat.
convo	ጫማህን ወድጄዋለው።	I like your shoes.	I love your shoes.	Can together.
convo	ስለተመለስክ ደስ ብሎኛል።	I am glad you're back.	I&#39;m glad you&#39;re back.	How wonderful it is in the timeless.
convo	ትወዳታለህ እንዴ?	Do you like her?	Do you love her	One treatment?
convo	የት እየሄድክ ነው?	Where are you going?	where are you going?	Neither shall the of where?
convo	እትረብሽኘ!	Don’t disturb me!	Don&#39;t bother me!	Iteration!
convo	ወራጅ አለ።	Pull over.	There is a stream.	Dropbox said.
convo	ጥሩ እየሰራህ ነው።	You are doing very well.	You&#39;re doing well	A good cooperation.
convo	ወደ ሱቅ እየሄድኩ ነው።	I'm going to the store.	I am going to the store.	AIESEC in the shop.
convo	አትፍራ።	Dont be afraid.	Don&#39;t be afraid.	; Be not afraid.
convo	አትፈር።	Dont be shy.	do not be shy.	After.
convo	እባክህን አዳምጠኝ።	Please listen to me.	Please listen to me.	Please admitted.
convo	መሞከርህን አታቁም።	Don't stop trying.	Don&#39;t stop trying.	Aaron democratisation.
convo	ተስፋ አትቁረጥ።	Never give up.	Do not give up.	Articulate hope.
convo	ስህተት አትስራ።	Try to avoid mistakes.	Make no mistake.	Atesa error.
convo	በፍጥነት እየተማርክ ነው።	You are learning fast.	You&#39;re learning fast.	Of the mark, it quickly.
convo	መልዕክቱን ላክልኝ።	Send me the message.	Send me the message.	Lacking the message.
convo	ዝግጅቱ እንዳያመልጥህ።	Don’t miss the program.	Don&#39;t miss the event.	Animated event.
convo	ዕረፍት አድርግ።	Have a break.	Take a break.	Rest of the set.
convo	ወደዛ ሂድ!	Go there	Go there!	Go look out there!
convo	ብልጥ ሁን።	Be smart	Be smart.	I saw both.
convo	ዝጋው!	Close it!	shut down!	That!
convo	አጥፋው!	Turn it off!	Turn it off!	Author!
convo	የዛሬው የ አቶ ዮናስ ትምህርት እንዴት አየሽው?	How did you see today's Lecture by Mr.Yonas?	How do you see Mr. Jon&#39;s teaching today?	Today's education of how the auto ones?
convo	የ ፈለከውን በል አንጂ እኔ እነግራታለው።	Whatever you say, I am going to tell her	Whatever you say, I&#39;ll tell you.	Selection of the integration allowance and I am not.
convo	ለምንድን ነው እንደዚህ እምንኖረው?	Why are we living like this?	Why do we live like that?	Of what such a menu?
convo	ሀደራን አናገርካት?	Did you manage to talk to Hadera?	Did you speak to Hadra?	As the anagarikas?
convo	ትናንት ሙዝየም ውስጥ ያየሁትን  ማመን አልቻልኩም።	I couldn't believe what i saw yesterday at the national museum.	I couldn&#39;t believe what I saw in the museum yesterday.	I could not believe I in the museum yesterday.
convo	ወደድክም ጠላህም የ ሂደቱ አካል ነህ።	Whether you like it or not, you are part of this process.	Whether you like it or not, you are part of the process.	First part of the wedding process you are.
convo	ከ እርሱ ጋር የ ቢዝነስ ስምምነት ማድረግ አትፈልግም?	Don't you want to make a business deal with him?	Don&#39;t want to make a business deal with him?	He do not want to go to a business of the agreement?
convo	እሱ ታማኝ ሆኖ እስከቀጠለ ድረስ ግንኙነታችንን እንቀጥላለን።	We will continue to communicate with him as long as he remains loyal.	As long as he remains faithful, we will continue our relationship.	He continued faithful to the incomplete mengundang.
convo	አናቴ አንተን ከ ሴት ጋር ማየት ደስ አይላትም።	My mother wouldn't appreciate seeing you with a girl.	Anita doesn&#39;t like to see you with a woman.	You see my mother to a women in the Iran.
convo	ዛሬ እኔ ጋር ትመጣለች።	She will come to my place tonight.	Come with me today.	Today I am to timetables.
convo	እሱ ከ ቡድን አጋሮቹ ሁሉ ቆንጆ ነበር።	He was the most handsome boy in his team.	He was beautiful from all his teammates.	He was a beautiful group and all its affiliates.
convo	ድምፁን ካልሰማች ምግብ እስከማትበላ ድረስ ትውደው ነበር።	She used to love him so much that she couldn't eat until she hears his voice.	If she did not hear it, they would eat it until she did not eat.	His voice was todo with the Association of the food salesman.
convo	እሷ ቆንጆ ብቻ ሳትሆን፣ እኔ ከማውቃቸው ሰዎች ሁሉ በጣም መልካሟ ናት።	Not only is she beautiful, she is the most kind person I know.	Not only is she beautiful, she&#39;s the best person I know.	She is not only beautiful Nathan, I am Kevin, and one's children all medical.
convo	መፅሃፍት ማንበብህን እነዳታቆም።	You should never stop reading books.	Don&#39;t stop reading books.	The truth with mandatory Lamanites.
convo	አንቺን ማፍቀሬን አለቆምም።	I will never stop loving you.	I will never stop loving you.	You alukom marketing.
convo	ማንኛውም አይነት ድጋፍ ከፈለግክ፣ እርዳታ ከመጠየቅ ወደኋላ አትበል።	If you need any help ,do not hesitate to ask for help.	If you need any support, do not hesitate to ask for help.	Support any type of keylogger, will help back copies.
convo	ህይወትህን መቀየር ከፈለግክ ነገሮችን እምታይበት መንገድ ቀይር።	Change the way you look at things if you want to change your life.	If you want to change your life, change the way you see things.	Things change life of the Switch entity keylogger.
convo	ስላንተ ከምወድው ነገር አንዱ ነገሮችን ቀለል የማድረግ ችሎታህን ነው።	One thing I really like about you is your ability to make things clear.	One of the things I love about you is your ability to simplify things.	The slanty one but comvedeo comfort of your ability to do things.
convo	ጥሩ ስሜት እየተሰማህ ካልሆነ ወደ ሆስፒታል መሄድ አለብህ።	You should go to the hospital if you are not feeling well.	If you are not feeling well you should go to the hospital.	I heard good feeling you need to go to the hospital.
convo	ህይወት ማለት ያለህን ከሌሎች ጋር መካፈል ማለት ነው።	Life is sharing what you have with others.	Life means sharing what you have with others.	This means that life means sharing with others.
convo	ሰላም	HEY	Hello there	Peace
convo	ሰላም ነው ጀለሴ,  ቀንህ አንዴት ነበር?  እኔ አዛ ቀን ነው ያሳለፍኩት::	My dude, Are you good?  How was your day? Mine was extremely tiering	Hi Jallese, how was your day? I just spent the day.	In Peace Jesse, was one ones? I am of Asclepius that day::
convo	ምስኪን, ምን ሆነህ ነው የሄን ያህል?	You poor soul,  what exactly happened?	Poor, what&#39;s up to you, how much is he?	The poor, the needy, the ሄ me how much of what?
convo	የቢሮ ቁልፌን እረስቼ ወጣሁ, ከዛ ለሁለት ሰዓታት ቆሜ ሌሎቹ አስክመጡ ጠብቄ ገባሁኝ,	I left home without my office keys so i had to stand at my office door for 2 hours whike waiting for my coworkers to arrive	I forgot my office key, then stopped for two hours and waited for the others to come in;	Arise out of the current office, then for two hours I broke the other ascent methods,
convo	መልካም ነገር ለመልካም ሰዎች ይሆናል።	Good things happen for good people.	Good will be good people.	The good things will be good.
convo	በጣም ጥሩ ተማሪ እንደሆንክ አውቃለው።	I know that you are a very good student.	I know you&#39;re a good student.	Michael I know him a good student.
convo	ይህን እንደምችል አውቃለው።	I know that I’m able to do this.	I know that I can.	I know that this.
convo	ለአሁን ነው ይህን የምትፈልገው?	Is it for now that you need this?	Do you want this for now?	Now that you can do what you want of this?
convo	መኪና መንዳት ያስደስተኛል፡፡	Driving a car makes me happy.	I enjoy driving.	Car driving Association
convo	እንደእርሱ ያለ ማንም የለም።	There is no one like him.	There is no one like him.	There is no one without him.
convo	ሰላም ፤ ሁሉ መልካም ነው?	Hello, is everything okay?	Hello, is all good?	Peace : all is good?
convo	መውደድ በረከት ነው፡፡	To Love is a blessing.	To love is a blessing.	Blessings of love
convo	ኦ፤ በጣም ቆንጆ ስም አለህ።	Oh, you have a beautiful name.	Oh, you have a beautiful name.	Oh: you are so beautiful name.
convo	አዲስ አበባ ለመቆየት ስንት ብር ያስፋልጋል?	How much money is required to stay at Addis Ababa?	How much does it cost to stay in Addis Ababa?	Asphalt how many Birr to Addis Ababa?
convo	የምትሰራው ነገር ሁሉ ግሩም ነው።	Everything that you do is awesome.	Everything you do is wonderful.	Tester of all things brilliant.
convo	በምትሰራው ስራ ሁሉ ለምን ሰነፍ ሆንክ?	Why are you so lazy in everything that you do?	Why are you so lazy in all that you do?	Left of the center of all what's wrong?
convo	ህይወት ካንተ/ቺ ጋር ጣፋጭ ናት።	Life is sweet with you.	Life is sweet with you.	Life with you/sweet to Anna Chi.
convo	የጠየከኝ ነገር ለመመለስ ከባድ ነው።	What you’re asking me is hard to answer.	What you asked for is hard to answer.	But it is difficult to return to ieteikums.
convo	ይህ ማሽን በስትክክል እየሰራ አይደለም	This machine is not working properly	This machine is not working in Stack	Bestial machinery is not doing this
convo	ከ ዶክተሩ ጋር ቀጠሮ አለኝ።	I have an appointment with the doctor.	I have an appointment with the doctor.	I have a appointment to a doctor.
convo	ዋጋውን መክፈል የምችል አይመስለኝም።	I don’t think I can afford that.	I don&#39;t think I can afford the price.	His field to pay that price.
convo	ጤናማ የኑሮ ዘይቤ ሊሮርህ ይገባል።	You should follow a healthy lifestyle.	You need to have a healthy lifestyle.	The liars in the health lifestyle.
convo	እየወጣሁ ነው። መምጣት ትፈልጋለህ?	I'm going out. Do you want to come?	going out. Do you want to come?	Got out of. You want to come to?
convo	ሀሳቤን አልተቀበሉትም።	They rejected my idea.	They rejected my idea.	Heaven rejected it.
convo	አስፈላጊ ይመስልሃል?	Do you think that is necessary?	Do you think it&#39;s important?	Do you think important?
convo	ከቅርብ ጊዜ ወዲህ ያልተለመደ ባህሪ እያሳየ ነው።	He has been acting weird lately.	Lately it&#39;s showing unusual behavior.	The unusual behavior of Addis Ababa and East.
convo	ወደ እዚያኛው ሬስቶራንት መሄድ እለብን።	We should go to that restaurant.	We had to go to that restaurant.	Asiana to go to the restaurant alone.
convo	ይሄን ሁሉ ግዜ ስጠብቅህ ነበር።	I have been waiting for you all this time.	I&#39;ve been waiting for you all this time.	This time it was all stores.
convo	በኋላ እንገናኛለን።	I will see you later.	See you later.	After Angele.
convo	ታይገሩ ሃልክ ሆጋን ነው?	Is the tigger hulk hogan?	Is Tiger Hulk Hogan?	Walk of human time?
convo	እኔም አስቤ ነበር እሱን... ግን አኔንጃ.. ምን አልባት ጆ ማንጋኔሎ የሆነም  የመስለኛል	I thought that too...but i don't know... i kinda also think it might be joe manganiello	I thought of him ... but Ananja .. I think maybe Joe Manganello	But I was FBI... to him what the wireless antenna of manganese flashlight..
convo	መኝታ ክፍሎች ይኖራችኃል?	Do you have rooms available?	Do you have rooms?	Most generational units?
convo	ሲጋራ የማይጨስበት ክፍል እፈልጋለሁ	I would like a non-smoking room	I need a non-smoking room	I want imageset cigar section
convo	ለአዳር ስንት ይክፈላል?	What is the charge per night?	How much does it cost per night?	How many leaders iCall?
convo	ሰው አለው?	Is this seat taken?	Does he have a person?	Alma man?
convo	ጾመኛ ነኝ።	I'm fasting.	I&#39;m fasting	I am someone.
convo	አትክልት ተመጋቢ ነኝ	I'm vegetarian	I am a vegetarian	I am of the timetable
convo	አስተናጋጅ	Waiter	Host	Of an
convo	ስንት ነው?	How much is this?	how much?	Of how many?
convo	በጣም ውድ ነው	This is very expensive	It is very expensive	Of dear Michael
convo	እንኳን ደስ አለሽ	Congratulations	Congratulations	Even if the app is free to play
convo	እንኳን ደስ አለህ	Congratulations	Congratulations	Even if you are in the
convo	መልካም ዕድል	Good luck	good luck	A good opportunity to
convo	መልካም የልደት በዓል	Merry Christmas	Happy birthday	The birth of the good
convo	መልካም የገና በዓል	Merry Christmas	Happy Christmas	A good Christmas
convo	መልካም አዲስ ዓመት	Happy new year	happy New Year	A good New Year
convo	መልካም ልደት	Happy birthday	happy Birthday	A good birth
convo	እንደምን አደራችሁ	Good morning!	Good morning	Addressing that
convo	እንደምን ዋላችሁ	Good afternoon!	Hello everyone	That was
convo	እንደምን አመሻችሁ	Good evening!	Good evening	That Amatu
convo	ደህና እደሩ	Good night!	Good night	I welcome the
convo	ቻው	Bye!	Chuck	Now
convo	ደህና ሁኑ	Good bye!	Goodbye	Welcome now
convo	አዎ	yes	Yes	Yes
convo	አይ	no	No	No
convo	ምን አልባት	maybe	What is she	What the wireless
convo	እሺ	Ok	Yes I can	Thousand
convo	አመሰግናለው	Thank you!	Thank you	አመሰግናለው
convo	ምንም አይደል	You're welcome!	does not matter	What you
convo	ይቅርታ	Excuse me	excuse me	Forgiveness
convo	በጣም አዝናለው	I'm sorry.	I am so sorry	Michael Bernau
convo	ባለትዳር ነኝ	I am married.	I’m married	I am Baltimore
convo	ባለትዳር አይደለሁም	I am not married.	I’m not married	I am not Baltimore
convo	አልገባኝም	I don't understand	I do not understand	I'm not following
convo	እባክዎትን ይጻፉልኝ	Could you write that down please?	Please write to me	Albacon itapolis
convo	ሊደግሙልኝ ይችላሉ	Could you please repeat that.	You can repeat me	You can Lindemulder
convo	አንድ አፍታ ይቆዩኝ	Just a moment please.	Wait a minute	The one of me
convo	በጣም አሪፍ ፎቶግራፍ አንሺ ነው።	He is a very good photographer.	He&#39;s a great photographer.	Any cool photography of Michael.
convo	የሴት ጓደኛ አለችህ?	Do you have a girlfriend?	Do you have a girlfriend?	Flash women friend?
convo	ሱቅ ጠባቂ ንች።	She is a shopkeeper	She is a shopkeeper.	Nice shop keepers.
convo	የራስ ምታት ይዞኛል።	I got a headache	I have a headache.	Isaiah a new auto.
